Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,RP11-34P13.7,0.0012278008999206233,-1.2553041510783789,0.38506346461946056,0.0030540266294342157,1.2553041510783789,0.38506346461946056
ENSG00000239945,RP11-34P13.8,0.0,-2.5772322459657424,0.26812418386153464,0.0012216106517736864,2.5772322459657424,0.26812418386153464
ENSG00000279928,FO538757.3,0.0,-1.9922697452445863,0.55447391373931798,0.00061080532588684319,1.9922697452445863,0.55447391373931798
ENSG00000279457,FO538757.2,0.081955710069701607,-0.096105556229125977,0.91110627321379611,0.087345161601818572,0.096105556229125977,0.91110627321379611
ENSG00000228463,AP006222.2,0.05463714004646774,0.28209266639072084,0.6272892889783126,0.044588788789739549,-0.28209266639072084,0.62728928897831204
ENSG00000237094,RP4-669L17.10,0.0027625520248214025,0.32965834964277718,0.95754458310564661,0.0018324159776605294,-0.32965834964277718,0.95754458310564661
ENSG00000230021,RP5-857K21.4,0.00030695022498015582,0.007730254755413668,1.0,0.0,-0.007730254755413668,1.0
ENSG00000229905,RP11-206L10.4,0.00061390044996031165,0.59269275547657152,1.0,0.0,-0.59269275547657152,1.0
ENSG00000237491,RP11-206L10.9,0.02210041619857122,-0.15999719098265341,0.89818308610716424,0.024432213035473726,0.15999719098265341,0.89818308610716424
ENSG00000177757,FAM87B,0.0,-2.5772322459657424,0.26812418386153464,0.0012216106517736864,2.5772322459657424,0.26812418386153464
ENSG00000225880,LINC00115,0.010436307649325299,-0.18491482318698171,0.90868926397058092,0.01160530119185002,0.18491482318698171,0.90868926397058092
ENSG00000230368,FAM41C,0.03253672384789652,0.35687981837780125,0.56400911261347519,0.02504301836136057,-0.35687981837780125,0.56400911261347519
ENSG00000230699,RP11-54O7.1,0.00030695022498015582,-0.99226974524458633,0.77857516027009777,0.00061080532588684319,0.99226974524458633,0.77857516027009777
ENSG00000187634,SAMD11,0.00061390044996031165,-0.99226974524458456,0.82186389376133595,0.0012216106517736864,0.99226974524458456,0.82186389376133573
ENSG00000188976,NOC2L,0.16912957396406586,0.72393728875482299,0.033387295342740632,0.10200448942310281,-0.72393728875482299,0.033387295342740632
ENSG00000187961,KLHL17,0.0015347511249007792,-0.99226974524458456,0.55447391373931798,0.0030540266294342157,0.99226974524458456,0.55447391373931798
ENSG00000187583,PLEKHN1,0.0027625520248214025,1.3296583496427772,0.40046857518868512,0.00061080532588684319,-1.3296583496427772,0.40046857518868512
ENSG00000272512,RP11-54O7.17,0.00061390044996031165,-1.4073072445234285,0.57150789926365975,0.0018324159776605294,1.4073072445234285,0.57150789926365975
ENSG00000188290,HES4,0.0098224071993649863,-3.986794615178435,1.6131032478713977e-28,0.16003099538235291,3.986794615178435,1.7283249084336404e-28
ENSG00000187608,ISG15,0.33242709365350875,-0.56833218664250906,0.074768744015164881,0.49291989799068242,0.56833218664250906,0.074768744015164909
ENSG00000188157,AGRN,0.0012278008999206233,-0.99226974524458633,0.71669244315631042,0.0024432213035473728,0.99226974524458633,0.71669244315631042
ENSG00000131591,C1orf159,0.012278008999206233,0.55792733731589372,0.48881079277937789,0.00794046923652896,-0.55792733731589372,0.48881079277937789
ENSG00000162571,TTLL10,0.001841701349880935,0.81508517681301917,0.68406640265433682,0.00061080532588684319,-0.81508517681301917,0.68406640265433649
ENSG00000186891,TNFRSF18,0.041131330147340883,3.7626177569188819,1.2193030931577676e-09,0.0024432213035473728,-3.7626177569188819,1.2193030931577676e-09
ENSG00000186827,TNFRSF4,0.067222099270654131,3.4671618733927114,2.8701285454804479e-12,0.0054972479329815881,-3.4671618733927114,2.8701285454804479e-12
ENSG00000078808,SDF4,0.21026090411140674,-0.162662016339854,0.72860968307720531,0.23516005046643459,0.162662016339854,0.72860968307720531
ENSG00000176022,B3GALT6,0.036834026997618702,0.37200464035237157,0.53678233464878566,0.028097044990794785,-0.37200464035237157,0.536782334648786
ENSG00000184163,FAM132A,0.00061390044996031165,-0.40730724452342848,1.0,0.00061080532588684319,0.40730724452342848,1.0
ENSG00000260179,RP5-902P8.12,0.0012278008999206233,1.3296583496427772,0.59050736621151867,0.0,-1.3296583496427772,0.59050736621151867
ENSG00000160087,UBE2J2,0.16636702193924446,0.22217392297637106,0.6630766810004507,0.14231764093163446,-0.22217392297637106,0.6630766810004507
ENSG00000230415,RP5-902P8.10,0.00092085067494046752,0.007730254755413668,1.0,0.00061080532588684319,-0.007730254755413668,1.0
ENSG00000162572,SCNN1D,0.0027625520248214025,0.007730254755413668,1.0,0.0024432213035473728,-0.007730254755413668,1.0
ENSG00000131584,ACAP3,0.056171891171368518,0.38154509130774539,0.47466691662208566,0.042756372812079023,-0.38154509130774539,0.47466691662208566
ENSG00000169972,PUSL1,0.033457574522836986,0.061169513716874846,1.0,0.03176187694611584,-0.061169513716874846,1.0
ENSG00000127054,CPSF3L,0.13229554696644716,0.1044062741670877,0.92331370548109359,0.12277187050325547,-0.1044062741670877,0.92331370548109359
ENSG00000224051,CPTP,0.053102388921566962,0.9912421319668443,0.016123561157321532,0.026264629013134255,-0.9912421319668443,0.016123561157321532
ENSG00000169962,TAS1R3,0.00061390044996031165,-0.40730724452342848,1.0,0.00061080532588684319,0.40730724452342848,1.0
ENSG00000107404,DVL1,0.0052181538246626495,-0.52278446194336592,0.70725959466173427,0.0073296639106421174,0.52278446194336592,0.7072595946617346
ENSG00000162576,MXRA8,0.0052181538246626495,3.1776552561977267,0.010004529926824109,0.0,-3.1776552561977267,0.010004529926824109
ENSG00000175756,AURKAIP1,0.38675728347499633,-0.54054012534570384,0.075958093360388265,0.56255170514178254,0.54054012534570384,0.075958093360385531
ENSG00000221978,CCNL2,0.12124533886716156,0.60366387329757343,0.10708514876298947,0.079404692365289603,-0.60366387329757343,0.10708514876298963
ENSG00000242485,MRPL20,0.34132865017793329,-0.32530250191324961,0.35333502502655778,0.42756372812079019,0.32530250191324961,0.35333502502655778
ENSG00000272455,RP4-758J18.13,0.0021486515748610907,0.42276775403425759,0.92859508308387417,0.0012216106517736864,-0.42276775403425759,0.92859508308387417
ENSG00000235098,ANKRD65,0.00061390044996031165,-3.1077469626645211,0.0010069289608399163,0.0073296639106421174,3.1077469626645211,0.0010069289608399146
ENSG00000215915,ATAD3C,0.0061390044996031167,3.4000476775341753,0.0072206824428661005,0.0,-3.4000476775341753,0.0072206824428661005
ENSG00000160072,ATAD3B,0.029774171823075117,0.53497725762028292,0.34822710089201375,0.020156575754265823,-0.53497725762028292,0.34822710089201359
ENSG00000197785,ATAD3A,0.030081122048055273,-0.006769314939701232,1.0,0.029929460968455314,0.006769314939701232,1.0
ENSG00000205090,TMEM240,0.0,-2.5772322459657424,0.26812418386153464,0.0012216106517736864,2.5772322459657424,0.26812418386153464
ENSG00000160075,SSU72,0.56693706553834788,0.060197674649549504,1.0,0.54361674003929039,-0.060197674649549504,1.0
ENSG00000215014,RP5-832C2.5,0.031922823397936208,0.078119582646811736,1.0,0.029929460968455314,-0.078119582646811736,1.0
ENSG00000228594,C1orf233,0.0024556017998412466,-2.3459066998592855,0.00061838962076502966,0.01343771716951055,2.3459066998592855,0.00061838962076503075
ENSG00000272106,RP11-345P4.9,0.025476868673352936,0.44585136714729945,0.5029133394160612,0.018324159776605294,-0.44585136714729945,0.5029133394160612
ENSG00000197530,MIB2,0.15654461473987949,1.5955187995553333,1.4965360449125237e-06,0.051307647374494822,-1.5955187995553333,1.4965360449125237e-06
ENSG00000189409,MMP23B,0.024556017998412467,3.0256521627526762,4.423731733118042e-06,0.0024432213035473728,-3.0256521627526762,4.423731733118042e-06
ENSG00000248333,CDK11B,0.13659285011616934,0.48670205978835623,0.21096447764613632,0.097118046816008052,-0.48670205978835623,0.21096447764613632
ENSG00000272004,RP11-345P4.10,0.0036834026997618701,0.38624187800914367,0.82935985336740303,0.0024432213035473728,-0.38624187800914367,0.82935985336740303
ENSG00000189339,SLC35E2B,0.076123655795078654,0.19954786204656871,0.76738329524052307,0.065966975195779057,-0.19954786204656871,0.76738329524052307
ENSG00000269737,RP11-345P4.7,0.001841701349880935,0.81508517681301917,0.70034915011037246,0.00061080532588684319,-0.81508517681301917,0.70034915011037246
ENSG00000008128,CDK11A,0.093926768843927685,0.61161361737379849,0.11622746529334198,0.061080532588684316,-0.61161361737379849,0.11622746529334217
ENSG00000215790,SLC35E2,0.0079807058494840519,1.4406896620315202,0.11692343775833033,0.0024432213035473728,-1.4406896620315202,0.11692343775833033
