Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,RP11-34P13.7,0.0010705750359889668,-3.6291957346483157,1.0,0.0,3.6291957346483157,1.0
ENSG00000279457,FO538757.2,0.1066292735845011,-0.2512622300322116,1.0,0.11304668050686126,0.2512622300322116,1.0
ENSG00000228463,AP006222.2,0.023766765798955064,-0.99176581403302411,1.0,0.032299051573388929,0.99176581403302411,1.0
ENSG00000237094,RP4-669L17.10,0.0040681851367580738,-1.8922301404821091,1.0,0.0,1.8922301404821091,1.0
ENSG00000230021,RP5-857K21.4,0.00085646002879117341,-3.8922301404821082,1.0,0.0,3.8922301404821082,1.0
ENSG00000237491,RP11-206L10.9,0.026978490906921962,-0.2254735485973054,1.0,0.016149525786694464,0.2254735485973054,1.0
ENSG00000225880,LINC00115,0.016700970561427882,0.089622512807631338,1.0,0.0,-0.089622512807631338,1.0
ENSG00000230368,FAM41C,0.02291030577016389,0.54072926679399735,1.0,0.0,-0.54072926679399735,1.0
ENSG00000230699,RP11-54O7.1,0.00021411500719779335,-5.2141582353694718,1.0,0.0,5.2141582353694718,1.0
ENSG00000187634,SAMD11,0.00064234502159338008,-4.2141582353694718,1.0,0.0,4.2141582353694718,1.0
ENSG00000188976,NOC2L,0.15930156535515827,0.32693837998005204,1.0,0.11304668050686126,-0.32693837998005204,1.0
ENSG00000187961,KLHL17,0.0038540701295602803,-1.9662307219258857,1.0,0.0,1.9662307219258857,1.0
ENSG00000187583,PLEKHN1,0.0038540701295602803,-1.9662307219258857,1.0,0.0,1.9662307219258857,1.0
ENSG00000272512,RP11-54O7.17,0.0010705750359889668,-3.6291957346483157,1.0,0.0,3.6291957346483157,1.0
ENSG00000188290,HES4,0.052672291770657166,-0.26579100378479437,1.0,0.048448577360083393,0.26579100378479437,1.0
ENSG00000187608,ISG15,0.28819879968822987,1.3740209780352275,1.0,0.096897154720166787,-1.3740209780352275,1.0
ENSG00000224969,RP11-54O7.11,0.0004282300143955867,-4.6291957346483157,1.0,0.0,4.6291957346483157,1.0
ENSG00000188157,AGRN,0.0019270350647801401,-4.4771926412032652,0.31206331302047813,0.032299051573388929,4.4771926412032652,0.31206331302047813
ENSG00000273443,RP11-54O7.18,0.0004282300143955867,-4.6291957346483157,1.0,0.0,4.6291957346483157,1.0
ENSG00000131591,C1orf159,0.010919865367087462,-1.5137185172283791,1.0,0.016149525786694464,1.5137185172283791,1.0
ENSG00000162571,TTLL10,0.0012846900431867602,-3.406803313311868,1.0,0.0,3.406803313311868,1.0
ENSG00000186891,TNFRSF18,0.061451007065766693,1.9557667660728413,1.0,0.0,-1.9557667660728413,1.0
ENSG00000186827,TNFRSF4,0.11176803375724813,0.23154640015631323,1.0,0.080747628933472329,-0.23154640015631323,1.0
ENSG00000078808,SDF4,0.19056235640603608,-0.58480161528986185,1.0,0.27454193837380592,0.58480161528986185,1.0
ENSG00000176022,B3GALT6,0.0040681851367580738,-3.4771926412032661,0.69147908664742397,0.032299051573388929,3.4771926412032661,0.69147908664742397
ENSG00000184163,FAM132A,0.0010705750359889668,-3.6291957346483157,1.0,0.0,3.6291957346483157,1.0
ENSG00000260179,RP5-902P8.12,0.0012846900431867602,-3.406803313311868,1.0,0.0,3.406803313311868,1.0
ENSG00000160087,UBE2J2,0.13874652466417009,-0.67943848942793705,1.0,0.20994383522702803,0.67943848942793705,1.0
ENSG00000162572,SCNN1D,0.0023552650791757268,-2.6291957346483157,1.0,0.0,2.6291957346483157,1.0
ENSG00000131584,ACAP3,0.042823001439558674,0.43689345580945727,1.0,0.016149525786694464,-0.43689345580945727,1.0
ENSG00000169972,PUSL1,0.034472516158844731,-0.87430823248484701,1.0,0.048448577360083393,0.87430823248484701,1.0
ENSG00000127054,CPSF3L,0.12033263404515987,-0.66212962401039821,1.0,0.17764478365363912,0.66212962401039821,1.0
ENSG00000224051,CPTP,0.032545481094064591,-0.95677039267682007,1.0,0.048448577360083393,0.95677039267682007,1.0
ENSG00000169962,TAS1R3,0.0004282300143955867,-4.6291957346483157,1.0,0.0,4.6291957346483157,1.0
ENSG00000107404,DVL1,0.0092069453095051136,-2.3396891174533314,1.0,0.032299051573388929,2.3396891174533314,1.0
ENSG00000162576,MXRA8,0.0055669901871426277,-1.4592707332060026,1.0,0.0,1.4592707332060026,1.0
ENSG00000175756,AURKAIP1,0.34365458655245834,-0.42288305297972917,1.0,0.45218672202744503,0.42288305297972917,1.0
ENSG00000221978,CCNL2,0.10577281355570992,0.15216397887634425,1.0,0.080747628933472329,-0.15216397887634425,1.0
ENSG00000242485,MRPL20,0.26100619377411011,-0.71638030508269179,1.0,0.41988767045405606,0.71638030508269179,1.0
ENSG00000272455,RP4-758J18.13,0.0085646002879117347,-1.856606230751388,1.0,0.016149525786694464,1.856606230751388,1.0
ENSG00000235098,ANKRD65,0.00021411500719779335,-6.2141582353694718,0.47312450905459713,0.016149525786694464,6.2141582353694718,0.47312450905459713
ENSG00000225285,RP4-758J18.10,0.00021411500719779335,-5.2141582353694718,1.0,0.0,5.2141582353694718,1.0
ENSG00000215915,ATAD3C,0.0085646002879117347,-2.4415687314725449,1.0,0.032299051573388929,2.4415687314725449,1.0
ENSG00000160072,ATAD3B,0.022696190762966095,-1.0576537496894813,1.0,0.032299051573388929,1.0576537496894813,1.0
ENSG00000197785,ATAD3A,0.053314636792250548,-1.0557288727649889,1.0,0.096897154720166787,1.0557288727649889,1.0
ENSG00000205090,TMEM240,0.00021411500719779335,-5.2141582353694718,1.0,0.0,5.2141582353694718,1.0
ENSG00000160075,SSU72,0.46056138048245349,0.27234162646599613,1.0,0.37143909309397266,-0.27234162646599613,1.0
ENSG00000215014,RP5-832C2.5,0.023338535784559477,-0.43279852184481182,1.0,0.016149525786694464,0.43279852184481182,1.0
ENSG00000228594,C1orf233,0.0027834950935713139,-2.406803313311868,1.0,0.0,2.406803313311868,1.0
ENSG00000272106,RP11-345P4.9,0.034900746173240314,0.14339376924861202,1.0,0.016149525786694464,-0.14339376924861202,1.0
ENSG00000197530,MIB2,0.13018192437625836,0.45117768181570472,1.0,0.080747628933472329,-0.45117768181570472,1.0
ENSG00000189409,MMP23B,0.0098492903310984942,-0.65956938369183415,1.0,0.0,0.65956938369183415,1.0
ENSG00000248333,CDK11B,0.13874652466417009,-0.042008568812645475,1.0,0.12919620629355572,0.042008568812645475,1.0
ENSG00000272004,RP11-345P4.10,0.0021411500719779337,-2.7547266167321736,1.0,0.0,2.7547266167321736,1.0
ENSG00000189339,SLC35E2B,0.077081402591205606,-0.52565813053990462,1.0,0.096897154720166787,0.52565813053990462,1.0
ENSG00000269737,RP11-345P4.7,0.0025693800863735203,-2.5137185172283791,1.0,0.0,2.5137185172283791,1.0
ENSG00000008128,CDK11A,0.2288889426944411,0.3898052272817405,1.0,0.16149525786694466,-0.3898052272817405,1.0
ENSG00000215790,SLC35E2,0.0089928303023073218,-0.78789348066737386,1.0,0.0,0.78789348066737386,1.0
ENSG00000008130,NADK,0.033830171137251348,-1.7086302021427202,0.87915779016446982,0.096897154720166787,1.7086302021427202,0.87915779016446982
ENSG00000078369,GNB1,0.10598692856290771,-2.0673168470402006,0.24623860317912644,0.43603719624075055,2.0673168470402006,0.24623860317912644
ENSG00000231050,RP1-140A9.1,0.0019270350647801401,-2.8922301404821082,1.0,0.0,2.8922301404821082,1.0
ENSG00000169885,CALML6,0.00021411500719779335,-5.2141582353694718,1.0,0.0,5.2141582353694718,1.0
ENSG00000178821,TMEM52,0.0027834950935713139,-3.406803313311868,1.0,0.016149525786694464,3.406803313311868,1.0
ENSG00000142609,CFAP74,0.0004282300143955867,-4.6291957346483157,1.0,0.0,4.6291957346483157,1.0
ENSG00000067606,PRKCZ,0.032331366086866799,-1.7735856439834898,0.83047526769627411,0.096897154720166787,1.7735856439834898,0.83047526769627411
ENSG00000271806,RP5-892K4.1,0.0072799102447249743,-1.0848752184245054,1.0,0.0,1.0848752184245054,1.0
ENSG00000182873,RP11-181G12.2,0.0010705750359889668,-3.6291957346483157,1.0,0.0,3.6291957346483157,1.0
ENSG00000162585,FAAP20,0.23252889781680358,0.064623067600233508,1.0,0.20994383522702803,-0.064623067600233508,1.0
ENSG00000157933,SKI,0.058667511972195378,0.8891295730425508,1.0,0.016149525786694464,-0.8891295730425508,1.0
ENSG00000116151,MORN1,0.0072799102447249743,-1.0848752184245054,1.0,0.0,1.0848752184245054,1.0
ENSG00000157916,RER1,0.20662098194587059,-0.54620636997728389,1.0,0.29069146416050035,0.54620636997728389,1.0
ENSG00000157911,PEX10,0.023124420777361682,-1.0309364113137018,1.0,0.032299051573388929,1.0309364113137018,1.0
ENSG00000149527,PLCH2,0.010277520345494081,-0.59944839125426341,1.0,0.0,0.59944839125426341,1.0
ENSG00000224387,RP3-395M20.2,0.00021411500719779335,-5.2141582353694718,1.0,0.0,5.2141582353694718,1.0
ENSG00000157881,PANK4,0.027406720921317549,-1.5248590748335804,1.0,0.064598103146777858,1.5248590748335804,1.0
ENSG00000272449,RP3-395M20.12,0.15566161023279576,0.48628148277162042,1.0,0.096897154720166787,-0.48628148277162042,1.0
ENSG00000238164,RP3-395M20.8,0.019912695669394784,-0.65956938369183415,1.0,0.016149525786694464,0.65956938369183415,1.0
ENSG00000157873,TNFRSF14,0.32759596101262384,0.55874541007271228,1.0,0.20994383522702803,-0.55874541007271228,1.0
ENSG00000228037,RP3-395M20.9,0.010919865367087462,-0.51371851722837913,1.0,0.0,0.51371851722837913,1.0
ENSG00000157870,FAM213B,0.02869141096450431,0.86265736168135909,1.0,0.0,-0.86265736168135909,1.0
ENSG00000142606,MMEL1,0.0089928303023073218,-0.78789348066737386,1.0,0.0,0.78789348066737386,1.0
ENSG00000215912,TTC34,0.0025693800863735203,-2.5137185172283791,1.0,0.0,2.5137185172283791,1.0
ENSG00000142611,PRDM16,0.00021411500719779335,-5.2141582353694718,1.0,0.0,5.2141582353694718,1.0
ENSG00000162591,MEGF6,0.013275130446263187,-1.236878311869555,1.0,0.016149525786694464,1.236878311869555,1.0
ENSG00000238260,RP11-46F15.2,0.0019270350647801401,-2.8922301404821082,1.0,0.0,2.8922301404821082,1.0
ENSG00000158109,TPRG1L,0.050102911684283644,0.077396210474371507,1.0,0.032299051573388929,-0.077396210474371507,1.0
ENSG00000116213,WRAP73,0.049246451655492469,1.6375908060465862,1.0,0.0,-1.6375908060465862,1.0
ENSG00000227372,TP73-AS1,0.018413890619010227,0.22878526047925707,1.0,0.0,-0.22878526047925707,1.0
ENSG00000235169,SMIM1,0.010277520345494081,-1.5994483912542634,1.0,0.016149525786694464,1.5994483912542634,1.0
ENSG00000130764,LRRC47,0.068516802303293878,-0.47269124896832482,1.0,0.080747628933472329,0.47269124896832482,1.0
ENSG00000272153,RP1-286D6.5,0.0004282300143955867,-4.6291957346483157,1.0,0.0,4.6291957346483157,1.0
ENSG00000116198,CEP104,0.043465346461152049,-0.54173289339797615,1.0,0.048448577360083393,0.54173289339797615,1.0
ENSG00000169598,DFFB,0.017771545597416848,0.17815918740928893,1.0,0.0,-0.17815918740928893,1.0
ENSG00000198912,C1orf174,0.056740476907415238,0.25616169941056111,1.0,0.032299051573388929,-0.25616169941056111,1.0
ENSG00000236423,LINC01134,0.0,-7.2141582353694718,0.30086769078454884,0.016149525786694464,7.2141582353694718,0.30086769078454861
ENSG00000196581,AJAP1,0.0004282300143955867,-4.6291957346483157,1.0,0.0,4.6291957346483157,1.0
ENSG00000131697,NPHP4,0.0021411500719779337,-2.7547266167321736,1.0,0.0,2.7547266167321736,1.0
ENSG00000069424,KCNAB2,0.11690679392999517,-0.28868621401922745,1.0,0.12919620629355572,0.28868621401922745,1.0
