Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,RP11-34P13.7,0.0012807349926175422,0.34960342885698381,0.87615864686807421,0.0,-0.2149508691760218,1.0,0.0,3.6291957346483157,1.0
ENSG00000279457,FO538757.2,0.099385035427121265,-0.51437577623982067,0.3742021081946118,0.14353211963788196,0.53507087781563056,0.39786986972460159,0.11304668050686126,0.2512622300322116,1.0
ENSG00000228463,AP006222.2,0.021772494874498217,-0.66707531228964534,0.41452595087425226,0.033925773732590279,0.66546751507130519,0.45010688276184291,0.032299051573388929,0.99176581403302411,1.0
ENSG00000237094,RP4-669L17.10,0.0043544989748996437,0.34960342885698381,1.0,0.0026096749025069444,-0.2149508691760218,1.0,0.0,1.8922301404821091,1.0
ENSG00000230021,RP5-857K21.4,0.00076844099557052533,-1.2353590718641723,0.81008354292744378,0.0013048374512534722,1.3700116315451343,0.81009091835125069,0.0,3.8922301404821082,1.0
ENSG00000237491,RP11-206L10.9,0.027407728842015401,0.12721100752053616,1.0,0.024791911573815974,-0.076244598344429981,1.0,0.016149525786694464,0.2254735485973054,1.0
ENSG00000225880,LINC00115,0.016393407905504538,-0.11988185444423571,1.0,0.018267724317548611,0.25453441412519773,0.9155603491430534,0.0,-0.089622512807631338,1.0
ENSG00000230368,FAM41C,0.022028641873021726,-0.25184719465274075,0.8508453749397612,0.027401586476322917,0.38649975433370276,0.74558671502238394,0.0,-0.54072926679399735,1.0
ENSG00000230699,RP11-54O7.1,0.00025614699852350841,-1.2353590718641723,1.0,0.0,1.3700116315451343,1.0,0.0,5.2141582353694718,1.0
ENSG00000187634,SAMD11,0.00076844099557052533,-0.23535907186417226,1.0,0.0,0.37001163154513428,1.0,0.0,4.2141582353694718,1.0
ENSG00000188976,NOC2L,0.15138287612739348,-0.35682258434983849,0.53351572617450271,0.19964013004178124,0.4103859794512501,0.49660190115323288,0.11304668050686126,-0.32693837998005204,1.0
ENSG00000187961,KLHL17,0.0040983519763761345,0.26714126866501076,1.0,0.0026096749025069444,-0.13248870898404874,1.0,0.0,1.9662307219258857,1.0
ENSG00000187583,PLEKHN1,0.0035860579793291179,-0.65039657114301619,0.83741267199717639,0.0052193498050138887,0.7850491308239782,0.84666786109721803,0.0,1.9662307219258857,1.0
ENSG00000272512,RP11-54O7.17,0.0012807349926175422,0.34960342885698381,0.87615864686807421,0.0,-0.2149508691760218,1.0,0.0,3.6291957346483157,1.0
ENSG00000188290,HES4,0.058913809660406942,1.2944618746645231,0.089476930426091839,0.020877399220055555,-1.4128902467879305,0.098713821992526027,0.048448577360083393,0.26579100378479437,1.0
ENSG00000187608,ISG15,0.26613673146592526,-0.50761200772734383,0.34638380919212292,0.40058509753481597,0.60613103599309404,0.28806644949306198,0.096897154720166787,-1.3740209780352275,1.0
ENSG00000224969,RP11-54O7.11,0.00051229399704701682,-0.65039657114301619,1.0,0.0,0.7850491308239782,1.0,0.0,4.6291957346483157,1.0
ENSG00000188157,AGRN,0.0020491759881880673,-1.0654340704218592,0.7233383737976623,0.0013048374512534722,-0.089419987092162145,1.0,0.032299051573388929,4.4771926412032652,0.31206331302047813
ENSG00000273443,RP11-54O7.18,0.00025614699852350841,-2.2353590718641723,0.60370422261129575,0.0013048374512534722,2.3700116315451343,0.6074574939657037,0.0,4.6291957346483157,1.0
ENSG00000131591,C1orf159,0.011014320936510863,-0.09785554811423669,1.0,0.010438699610027777,0.048083536657772541,1.0,0.016149525786694464,1.5137185172283791,1.0
ENSG00000162571,TTLL10,0.0012807349926175422,-0.65039657114301619,1.0,0.0013048374512534722,0.7850491308239782,1.0,0.0,3.406803313311868,1.0
ENSG00000186891,TNFRSF18,0.053022428694366242,-0.8747693566077035,0.14135283363880291,0.10438699610027778,1.0094219162886668,0.10564191064026889,0.0,-1.9557667660728413,1.0
ENSG00000186827,TNFRSF4,0.11039935636363213,-0.08038441188783052,0.98850241594656596,0.11874020806406597,0.12208411810154907,0.93979411281503544,0.080747628933472329,-0.23154640015631323,1.0
